ensembl_id,gene_symbol,ncbi_id
Unknown,n-TVtac2,NCBI:102467409
Unknown,n-TRtct4,NCBI:102467411
Unknown,n-TCgca15,NCBI:102467412
Unknown,n-TQctg4,NCBI:102467413
Unknown,n-THgtg9,NCBI:102467414
Unknown,n-TLaag4,NCBI:102467415
Unknown,n-TKctt20,NCBI:102467416
Unknown,n-TPcgg1,NCBI:102467417
Unknown,n-TTcgt2,NCBI:102467418
Unknown,n-TAagc16,NCBI:102467419
Unknown,n-TAtgc5,NCBI:102467420
Unknown,n-TRcct3,NCBI:102467421
Unknown,n-TNgtt7,NCBI:102467422
Unknown,n-TCgca12,NCBI:102467424
Unknown,n-TCgca30,NCBI:102467425
Unknown,n-TCgca48,NCBI:102467426
Unknown,n-TEctc13,NCBI:102467428
Unknown,n-TGgcc1,NCBI:102467429
Unknown,n-TGtcc5,NCBI:102467430
Unknown,n-TIaat9,NCBI:102467431
Unknown,n-TLtag3,NCBI:102467433
Unknown,n-TKctt17,NCBI:102467434
Unknown,n-TMcat5,NCBI:102467435
Unknown,n-TFgaa5,NCBI:102467436
Unknown,n-TPtgg7,NCBI:102467437
Unknown,n-TSgct5,NCBI:102467438
Unknown,n-TTagt8,NCBI:102467440
Unknown,n-TTtgt3,NCBI:102467441
Unknown,n-TYgta1,NCBI:102467442
Unknown,n-TVaac1,NCBI:102467443
Unknown,n-TAagc19,NCBI:102467444
Unknown,n-TGgcc4,NCBI:102467445
Unknown,n-TYgta7,NCBI:102467446
Unknown,n-TAagc1,NCBI:102467447
Unknown,n-TAagc3,NCBI:102467448
Unknown,n-TAagc5,NCBI:102467449
Unknown,n-TAagc9,NCBI:102467450
Unknown,n-TAagc11,NCBI:102467451
Unknown,n-TAagc13,NCBI:102467452
Unknown,n-TAagc15,NCBI:102467453
Unknown,n-TAagc18,NCBI:102467454
Unknown,n-TAcgc2,NCBI:102467455
Unknown,n-TAcgc4,NCBI:102467456
Unknown,n-TAcgc7,NCBI:102467457
Unknown,n-TAcgc9,NCBI:102467458
Unknown,n-TAtgc1,NCBI:102467459
Unknown,n-TAtgc3,NCBI:102467460
Unknown,n-TAtgc6,NCBI:102467461
Unknown,n-TAtgc8,NCBI:102467462
Unknown,n-TAtgc10,NCBI:102467463
Unknown,n-TRacg2,NCBI:102467464
Unknown,n-TRacg5,NCBI:102467465
Unknown,n-TRccg1,NCBI:102467466
Unknown,n-TRccg3,NCBI:102467467
Unknown,n-TRcct2,NCBI:102467468
Unknown,n-TRcct5,NCBI:102467469
Unknown,n-TRtcg2,NCBI:102467470
Unknown,n-TRtcg4,NCBI:102467471
Unknown,n-TRtct1,NCBI:102467472
Unknown,n-TNgtt2,NCBI:102467474
Unknown,n-TNgtt4,NCBI:102467475
Unknown,n-TNgtt6,NCBI:102467476
Unknown,n-TNgtt9,NCBI:102467477
Unknown,n-TNgtt11,NCBI:102467478
Unknown,n-TNgtt13,NCBI:102467479
Unknown,n-TDgtc2,NCBI:102467480
Unknown,n-TDgtc4,NCBI:102467481
Unknown,n-TDgtc6,NCBI:102467482
Unknown,n-TDgtc9,NCBI:102467483
Unknown,n-TDgtc15,NCBI:102467486
Unknown,n-TCgca1,NCBI:102467487
Unknown,n-TCgca4,NCBI:102467488
Unknown,n-TCgca6,NCBI:102467489
Unknown,n-TCgca8,NCBI:102467490
Unknown,n-TCgca10,NCBI:102467491
Unknown,n-TCgca13,NCBI:102467492
Unknown,n-TCgca16,NCBI:102467493
Unknown,n-TCgca18,NCBI:102467494
Unknown,n-TCgca20,NCBI:102467495
Unknown,n-TCgca23,NCBI:102467496
Unknown,n-TCgca26,NCBI:102467497
Unknown,n-TCgca28,NCBI:102467498
Unknown,n-TCgca31,NCBI:102467499
Unknown,n-TCgca33,NCBI:102467500
Unknown,n-TCgca35,NCBI:102467501
Unknown,n-TCgca38,NCBI:102467502
Unknown,n-TCgca42,NCBI:102467503
Unknown,n-TCgca43,NCBI:102467504
Unknown,n-TCgca45,NCBI:102467505
Unknown,n-TCgca47,NCBI:102467506
Unknown,n-TCgca51,NCBI:102467507
Unknown,n-TCgca53,NCBI:102467508
Unknown,n-TCgca55,NCBI:102467509
Unknown,n-TQctg1,NCBI:102467510
Unknown,n-TQctg3,NCBI:102467511
Unknown,n-TQctg6,NCBI:102467512
Unknown,n-TQttg1,NCBI:102467514
Unknown,n-TQttg3,NCBI:102467515
Unknown,n-TQttg5,NCBI:102467516
Unknown,n-TEctc1,NCBI:102467517
Unknown,n-TEctc4,NCBI:102467518
